# Holly Perkins
sTmJ6BT_x6o;fitness,workout,butt workout,exercise,Holly Perkins,fitness tips;"Health/Fitness";Holly%20Perkins%20Booty%20No%20gC.mp4

# Marcus Samuelsson
zN7hXGofz18;Marcus Samuelsson,chef,restaurants,new york city restaurants,cooking,cooking tips;"Food/Food";Chef%20Marcus%20Samuelsson-%20Power%20of%20Cooking%20to%20Bring%20Families%20Together%20%257C%20genConnect.mp4
qdNR0QWfqN0;Marcus Samuelsson,chef,restaurants,new york city restaurants,cooking,cooking tips;"Food/Food";Chef%20Marcus%20Samuelsson-%20Power%20of%20Cooking%20to%20Bring%20Families%20Together.mp4

# Ken Robinson
vF6DrqCzKqc;Sir Ken Robinson,creativity,The Element,Ken Robinson,finding your element,finding your purpose,life coaching,purpose of life,finding your calling in life;"Life Tips/Life Tips";Ken%20Robinson-%20The%20Element%20%2526%20Finding%20Your%20Life%20Purpose%20%257C%20genConnect.mp4
Nye3DHDqMec;Sir Ken Robinson,creativity,The Element,Ken Robinson,finding your element,finding your purpose,life coaching,purpose of life,finding your calling in life;"Life Tips/Life Tips";Ken%20Robinson-%20The%20Element%20%2526%20Finding%20Your%20Life%20Purpose.mp4

#Tory Burch
4j0--87TSf0;Tory Burch,fashion,style,Tory Burch Foundation,Tory Burch for Men,Tory Burch career,Tory Burch Collection,Tory Burch Philanthropy,designer;"Style/Designers & Trend";Designer%20Tory%20Burch%20on%20Her%20Brand%252C%20Career%20Breakthrough%252C%20Foundation%252C%20and%20More%20%257C%20genConnect.mp4
jMwa1bpk0E0;Tory Burch,fashion,style,Tory Burch Foundation,Tory Burch for Men,Tory Burch career,Tory Burch Collection,Tory Burch Philanthropy,designer;"Style/Designers & Trend";Designer%20Tory%20Burch%20on%20Her%20Brand%252C%20Career%20Breakthrough%252C%20Foundation%252C%20and%20More.mp4

#Maria Bartiromo
_brCLOCJGps;Maria Bartiromo,Andrea Mitchell,work-life balance,can women have it all,women,Sheryl Sandberg,Lean In,career,working moms,Anne-Marie Slaughter;"Business/Career Coaching";Maria%20Bartiromo-%20Can%20Women%20Really%20Have%20It%20All%253F%20%257C%20genConnect.mp4
oVNTkq8VzRU;Maria Bartiromo,Andrea Mitchell,work-life balance,can women have it all,women,Sheryl Sandberg,Lean In,career,working moms,Anne-Marie Slaughter;"Business/Career Coaching";Maria%20Bartiromo-%20Can%20Women%20Really%20Have%20It%20All%253F.mp4

#Bob Harper
v95FHAP5E9Y;Bob Harper,Biggest Loser,The Biggest Loser,Andrew Ross Sorkin,diet tips,weight-loss tips,health,fitness,diet,exercise,best way to lose weight;"Health/Weight Loss";Bob%20Harper%20Tells%20Andrew%20Ross%20Sorkin%20to%20Watch%20His%20Diet%20%257C%20genConnect.mp4
pvVPFUKim_U;Bob Harper,Biggest Loser,The Biggest Loser,Andrew Ross Sorkin,diet tips,weight-loss tips,health,fitness,diet,exercise,best way to lose weight;"Health/Weight Loss";Bob%20Harper%20Tells%20Andrew%20Ross%20Sorkin%20to%20Watch%20His%20Diet.mp4

